ϻ�SG_UF;SG_UE;NM_UE;CD_CARGO;DS_CARGO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;DS_SIT_TOT_TURNO
SP;69671;RIBEIRAO PIRES;11;PREFEITO;15;VALDÍRIO PRISCO;VALDIRIO PRISCO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;4;COLIGAÇÃO CIDADE LIVRE;PMDB / PSDB / PFL / PTB / PRTB / PST ;NÃO ELEITO
SP;68977;POA;11;PREFEITO;14;CARLOS ROBERTO MARQUES DA SILVA;ROBERTO MARQUES;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;3;HUMILDADE JUSTIÇA E TRABALHO/PREF.;PTB / PHS / PMN ;NÃO ELEITO
SP;70750;SAO BERNARDO DO CAMPO;11;PREFEITO;23;MAURICIO SOARES DE ALMEIDA;MAURICIO SOARES;23;PPS;PARTIDO POPULAR SOCIALISTA;1;SÃO BERNARDO AINDA MELHOR;PPS / PSB / PSDC / PL / PFL / PHS / PSL / PMDB / PRTB / PRN / PT do B / PV / PTN / PSC / PSD;ELEITO
SP;69833;RIO GRANDE DA SERRA;11;PREFEITO;22;EXPEDITO ANTONIO DE OLIVEIRA;EXPEDITO DE OLIVEIRA;22;PL;PARTIDO LIBERAL;6;COLIGAÇÃO NOVA RIO GRANDE;PPB / PL / PST / PRN ;NÃO ELEITO
SP;64033;EMBU GUACU;11;PREFEITO;15;ANTONIO CARLOS GIOVANOLLI CRAVO ROXO;CRAVO ROXO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;6;UNIDADE POPULAR;PMDB / PGT / PSD / PT do B ;NÃO ELEITO
SP;71072;SAO PAULO;11;PREFEITO;28;FERNANDO AFFONSO COLLOR DE MELLO;COLLOR;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;-1;PARTIDO ISOLADO;PRTB;REGISTRO NEGADO ANTES DA ELEIÇÃO
SP;69833;RIO GRANDE DA SERRA;11;PREFEITO;13;RAMÓN ÁLVARO VELASQUEZ;RAMON;13;PT;PARTIDO DOS TRABALHADORES;-1;PARTIDO ISOLADO;PT;ELEITO
SP;70572;SANTO ANDRE;11;PREFEITO;16;JAIME ALVES DE ALMEIDA;JAIME DE ALMEIDA;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;-1;PARTIDO ISOLADO;PSTU;NÃO ELEITO
SP;71579;TABOAO DA SERRA;11;PREFEITO;13;MARCIA REGINA DA SILVA;PROFESSORA MARCIA;13;PT;PARTIDO DOS TRABALHADORES;-1;PARTIDO ISOLADO;PT;NÃO ELEITO
SP;64777;GUARULHOS;11;PREFEITO;43;JOVINO CÂNDIDO DA SILVA;JOVINO;43;PV;PARTIDO VERDE;3;FRENTE POPULAR DE GUARULHOS;PDT / PL / PSDC / PV / PSDB ;NÃO ELEITO
SP;71072;SAO PAULO;11;PREFEITO;29;RUI COSTA PIMENTA;RUI COSTA PIMENTA;29;PCO;PARTIDO DA CAUSA OPERÁRIA;-1;PARTIDO ISOLADO;PCO;NÃO ELEITO
SP;69833;RIO GRANDE DA SERRA;11;PREFEITO;43;SILVIO SABAINSKI;SILVIO SABÁ;43;PV;PARTIDO VERDE;2;COLIGAÇÃO VEM COM A GENTE;PV / PSB / PRTB / PDT ;NÃO ELEITO
